GCOS-ECV,GCOS has <relationship> CCI,ESA-CCI
atmosphericUpperairWaterVapour,broadMatch,greenhouseGases
atmosphericUpperairCloudProperties,broadMatch,cloud
atmosphericUpperairEarthRadiationBudget,,
atmosphericCompositionCarbonDioxide,broadMatch,greenhouseGases
atmosphericCompositionMethane,broadMatch,greenhouseGases
atmosphericCompositionOtherLonglivedGreenhouseGases,broadMatch,greenhouseGases
atmosphericCompositionOzoneAndAerosol,broadMatch,ozone
atmosphericCompositionOzoneAndAerosol,broadMatch,aerosol
oceanicSurfaceSeaSurfaceTemperature,closeMatch,seaSurfaceTemperature
oceanicSurfaceSeaSurfaceSalinity,,
oceanicSurfaceSeaLevel,closeMatch,seaLevel
oceanicSurfaceSeaState,,
oceanicSurfaceSeaIce,closeMatch,seaIce
oceanicSurfaceCurrent,,
oceanicSurfaceOceanColour,closeMatch,oceanColour
oceanicSurfaceCarbonDioxidePartialPressure,,
oceanicSurfaceOceanAcidity,,
oceanicSubsurfaceTemperature,,
oceanicSubsurfaceSalinity,,
oceanicSubsurfaceCurrent,,
oceanicSubsurfaceNutrients,,
oceanicSubsurfaceCarbonDioxidePartialPressure,,
oceanicSubsurfaceOceanAcidity,,
oceanicSubsurfaceOxygen,,
oceanicSubsurfaceTracers,,
terrestrialRiverDischarge,,
terrestrialWaterUse,,
terrestrialGroundwater,,
terrestrialLakes,,
terrestrialSnowCover,,
terrestrialGlaciersAndIceCaps,narrowMatch,glaciers
terrestrialIceSheets,closeMatch,iceSheets
terrestrialPermafrost,,
terrestrialAlbedo,,
terrestrialLandCover,closeMatch,landCover
terrestrialFractionOfAbsorbedPhotosyntheticallyActiveRadiation,,
terrestrialLeafAreaIndex,,
terrestrialAboveGroundBiomass,,
terrestrialSoilCarbon,,
terrestrialFireDisturbance,closeMatch,fire
terrestrialSoilMoisture,closeMatch,soilMoisture
