Platform URI,mapping,Sensor URI
alos,hasInstrument,palsar
aqua,hasInstrument,amsre
aqua,hasInstrument,modisOnAqua
aura,hasInstrument,omi
coriolis,hasInstrument,windSat
dmsp,hasInstrument,ssmI
dmsp,hasInstrument,ssmiS
envisat,hasInstrument,aatsr
envisat,hasInstrument,asar
envisat,hasInstrument,gomos
envisat,hasInstrument,meris
envisat,hasInstrument,merisFRS
envisat,hasInstrument,merisRR
envisat,hasInstrument,mipas
envisat,hasInstrument,ra2
envisat,hasInstrument,sciamachy
ers1,hasInstrument,amiWsOnErs1
ers1,hasInstrument,atsrOnErs1
ers1,hasInstrument,raOnErs1
ers2,hasInstrument,amiWsOnErs2
ers2,hasInstrument,atsrOnErs2
ers2,hasInstrument,gome
ers2,hasInstrument,raOnErs2
fengyun3B,hasInstrument,mwri
gcomW1,hasInstrument,amsr2
gfo,hasInstrument,gfo
goes,hasInstrument,goesImager
gosat,hasInstrument,tanso
gosat,hasInstrument,tansoCai
gosat,hasInstrument,tansoFts
icesat,hasInstrument,glas
jason1,hasInstrument,poseidon2
jason2,hasInstrument,poseidon3
landsat,hasInstrument,etmplus
landsat,hasInstrument,tm
landsat,hasInstrument,mss
landsat,hasInstrument,oli
landsat,hasInstrument,tirs
metOpA,hasInstrument,airs
metOpA,hasInstrument,amsu
metOpA,hasInstrument,ascat
metOpA,hasInstrument,avhrrOnMetopA
metOpA,hasInstrument,avhrrGacOnMetopA
metOpA,hasInstrument,gome2
metOpA,hasInstrument,iasi
msg1,hasInstrument,seviriOnMsg1
msg3,hasInstrument,seviriOnMsg2
mtsat1R,hasInstrument,jami
nimbus7,hasInstrument,smmr
noaa,hasInstrument,avhrrOnNOAA
noaa,hasInstrument,avhrrGacOnNOAA
noaa,hasInstrument,avhrrLac
noaa,hasInstrument,avhrrHrpt
odin,hasInstrument,osiris
odin,hasInstrument,smr
orbview2,hasInstrument,seaWiFs
parasol,hasInstrument,polder
scisat,hasInstrument,ace
scisat,hasInstrument,aceFts
spot4,hasInstrument,vegetation
spot5,hasInstrument,hrs
terra,hasInstrument,modisOnTerra
terra,hasInstrument,sarX
terra,hasInstrument,aster
topexPoseidon,hasInstrument,posedion1
trmm,hasInstrument,tmi
