URI,Pref Label,Alt Label,has transitiveBroader,Definition
atmospheric,atmospheric,,,GCOS Essential Climate Variable domain
terrestrial,terrestrial,,,GCOS Essential Climate Variable domain
oceanic,oceanic,,,GCOS Essential Climate Variable domain
atmosphericSurface,atmospheric surface,,atmospheric,"GCOS Essential Climate Variable sub-domain: Including measurements at standardized, but globally varying heights in close proximity to the surface"
atmosphericUpperair,atmospheric upper-air,,atmospheric,GCOS Essential Climate Variable sub-domain: Up to the stratopause
atmosphericComposition,atmospheric composition,,atmospheric,GCOS Essential Climate Variable sub-domain:
oceanicSurface,oceanic surface,,oceanic,GCOS Essential Climate Variable sub-domain
oceanicSubsurface,oceanic sub-surface,,oceanic,"GCOS Essential Climate Variable sub-domain: Including measurements within the surface mixed layer, usually within the upper 15m"
atmosphericUpperairWaterVapour,atmospheric upper-air water vapour,water vapour,atmosphericUpperair,GCOS Essential Climate Variable
atmosphericUpperairCloudProperties,atmospheric upper-air cloud properties,cloud properties,atmosphericUpperair,GCOS Essential Climate Variable
atmosphericUpperairEarthRadiationBudget,atmospheric upper-air earth radiation budget including solar irradiance,toa radiation budget,atmosphericUpperair,GCOS Essential Climate Variable
atmosphericCompositionCarbonDioxide,atmospheric composition carbon dioxide,carbon dioxide,atmosphericComposition,GCOS Essential Climate Variable
atmosphericCompositionMethane,atmospheric composition methane,methane,atmosphericComposition,GCOS Essential Climate Variable
atmosphericCompositionOtherLonglivedGreenhouseGases,atmospheric composition other long-lived greenhouse gases,other long-lived greenhouse gases,atmosphericComposition,"GCOS Essential Climate Variable; nitrous oxide (N2O), chlorofluorocarbons (CFCs), hydrochlorofluorocarbons (HCFCs), hydrofluorocarbons (HFCs), sulphur hexafluoride (SF6), and perfluorocarbons (PFCs) and precursors, in particular nitrogen dioxide (NO2), sulphur dioxide (SO2), formaldehyde (HCHO) and carbon monoxide (CO)."
atmosphericCompositionOzoneAndAerosol,atmospheric composition ozone and aerosol supported by their precursors,ozone and aerosol ,atmosphericComposition,"GCOS Essential Climate Variable; precursors in particular nitrogen dioxide (NO2), sulphur dioxide (SO2), formaldehyde (HCHO) and carbon monoxide (CO)."
oceanicSurfaceSeaSurfaceTemperature,oceanic surface sea surface temperature,sea surface temperature,oceanicSurface,GCOS Essential Climate Variable
oceanicSurfaceSeaSurfaceSalinity,oceanic surface sea surface salinity,sea surface salinity,oceanicSurface,GCOS Essential Climate Variable 
oceanicSurfaceSeaLevel,oceanic surface sea level,sea level,oceanicSurface,GCOS Essential Climate Variable 
oceanicSurfaceSeaState,oceanic surface sea state,sea state,oceanicSurface,GCOS Essential Climate Variable 
oceanicSurfaceSeaIce,oceanic surface sea ice,sea ice,oceanicSurface,GCOS Essential Climate Variable 
oceanicSurfaceCurrent,oceanic surface surface current,surface current,oceanicSurface,GCOS Essential Climate Variable 
oceanicSurfaceOceanColour,oceanic surface ocecan colour,ocecan colour,oceanicSurface,GCOS Essential Climate Variable 
oceanicSurfaceCarbonDioxidePartialPressure,oceanic surface carbon dioxide partial pressure,,oceanicSurface,GCOS Essential Climate Variable 
