URI,PrefLabel,Alt Label,Definition,IPCC source glossary (AR5),
a1,"A1, A1F1, A1T, A1B and A2",,See SRES scenarios,,
adaptation,Adaptation,,"The process of adjustment to actual or expected climate and its effects. In human systems, adaptation seeks to moderate harm or exploit beneficial opportunities. In natural systems, human intervention may facilitate adjustment to expected climate and its effects.",WGIII,
adaptationCapacity,Adaptation capacity ,,"The ability of systems, institutions, humans, and other organisms to adjust to potential damage, to take advantage of opportunities, or to respond to consequences.",WGIII,
aerosols,Aerosol,,"A suspension of airborne solid or liquid particles, with a typical size between a few nanometres and 10 micrometres that reside in the atmosphere for at least several hours. For convenience the term aerosol, which includes both the particles and the suspendig gas, is often used in its plural form to mean aerosol particles. Aerosols may be of either natural or anthropogenic origin. Aerosols may influence climate in several ways: directly through scattering and absorbing radiation, and indirectly by acting as cloud condensation nuclei or modifying the optical properties and lifetime of clouds.",WGI,
albedo,Albedo,,"The fraction of solar radiation reflected by a surface or object, often expressed as a percentage. Snow-covered surfaces have a high albedo, the albedo of soils ranges from high to low, and vegetation-covered surfaces and oceans have a low albedo. The Earth's planetary albedo varies mainly through varying cloudiness, snow, ice, leaf area and land cover changes.",WGI,
amip,AMIP,,Atmospheric Model Intercomparison Project,,
anthropogenic,Anthropogenic,,Resulting from or produced by human activities.,WGI,
ar4,AR4,,Fourth IPCC Assessment Report,,
ar5,AR5,,Fifth IPCC Assessment Report,,
ascii,ASCII,,American Standard Code for Information Interchange. ASCII is a character encoding scheme,,
atmosphere,Atmosphere,,"The gaseous envelope surrounding the Earth. The dry atmosphere consists almost entirely of nitrogen (78.1% volume mixing ratio) and oxygen (20.9% volume mixing ratio), together with a number 
of trace gases, such as argon (0.93% volume mixing ratio), helium and addiatively active greenhouse gases such as carbon dioxide (0.035% volume mixing ratio) and ozone. In addition, the atmosphere contains the gre
enhouse gas water vapour, whose amounts are highly variable but typically around 1% volume mixing ratio. the atmoshere also contains clouds and aerosols.",WGI,
b1,B1 and B2,,See SRES scenarios,,
badc,BADC,,British Atmospheric Data Centre,,
baseline,Baseline/Reference,,"The baseline (or reference) is the state against which change is measured. A baseline period is the period relative to which anomalies are computed. The baseline concentration of a trace gas is that measured at a location not influenced by local anthropogenic emissions.   In the context of transformation pathways, the term 'baseline scenarios' refers to scenarios that are based on the assumption that no mitigation policies or measures will be implemented beyond those that are already in force and/or are legislated or planned to be adopted.  Baseline scenarios are not intended to be predictions of the future, but rather counterfactual constructions that can serve to highlight the level of emissions that would occur without further policy effort.  Typically, baseline scenarios are then compared to mitigation scenarios that are constructed to meet different goals for greenhouse gas (GHG) emissions, atmosphereic concentrations, or temperature change.  The term 'baseline scenario; is used interchangeably with 'reference scenario' and 'no policy scenario'.  In much of the literature the term is also synonymous with the term 'business-as-usual (BAU) scenario', although the term 'BAU' has fallen out of favour because the idea of business-as-usual in century-long socioeconomic projections is hard to fathom.",WGIII,
biosphere,Biosphere,,"The part of the Earth system comprising all ecosystems and living organisms, in the atmosphere, on land (terrestrial biosphere) or in the oceans (marine biosphere), including derived dead organic matter, such as litter, soil organic matter and oceanic detritus.",WGIII,
bc,Black carbon (BC),,"Operationally defined aerosol species based on measurement of light absorption and chemical reactivity and/or thermal stability. It is sometimes referred to as soot. BC is mostly formed by the incomplete combustion of fossil fuels, biofuels, and biomass but it also occurs naturally. It stays in the atmosphere only for days or weeks. It is the most strongly light-absorbing component of particulate matter (PM) and has a warming effect by absorbing heat into the atmosphere and reducing the albedo when deposited on ice or snow.",WGIII,
bmbf,BMBF,,Bundesminesterium fur Bildung und Forschung / Federal Ministry of Education and Research,,
capacityBuilding,Capacity Building,,"The practice of enhancing the strengths and attributes of, and resources available to, an individual, community, society, or organisation to respond to change.",WGII,
co2,Carbon dioxide (CO2),,"CO2 is a naturally occurring gas, also a by-product of burning fossil fuels from fossil carbon deposits, such as oil, gas and coal, of burning biomass and of land use changes and of industrial processes (e.g., cement production). It is the principle anthropogenic greenhouse gas (GHG) that affects the Earth's radiative balance. It is the reference gas against which other greenhouse gases are measured and therefore has a Global Warming Potential of 1. ",WGIII,
,,,,,
cge,CGE,,Consultative Group of Experts,,
ciesin,CIESIN,,Centre for International Earth Science Information Network,,
cisl,CISL,,Computational Information Systems Laboratory,,
climate,Climate,,"Climate in a narrow sense is usually defined as the average weather, or more rigorously, as the statistical description in terms of the mean and variability of relevant quantities over a period of time ranging from months to thousands or millions of years.  The classical period for averaging these variables is 30 years, as defined by the World Meteorological Organization.  The relevant quantities are most often surface variables such as temperature, precipitation and wind.  Climate in a wider sense is the state, including a statistical description, of the climate system.",WGIII,
climateChange,Climate Change,,"Climate change refers to a change in the state of the climate that can be identified (e.g., by using statistical tests) by changes in the mean and/or the variability of its properties, and that persists for an extended period, typically decades or longer. Climate change may be due to natural internal processes or external forcings such as modulations of the solar cycles, volcanic eruptions and persistent anthropogenic changes in the composition of the atmosphere or in land use. Note that the United Nations Framework Convention on Climate Change (UNFCCC), in its Article 1, defines climate change as: 'a change of climate which is attributed directly or indirectly to human activity that alters the composition of the global atmosphere and which is in addition to natural climate variability observed over comparable time periods'. The UNFCCC thus makes a distinction between climate change attributable to human activities altering the atmospheric composition, and climate variability attributable to natural causes.",WGIII,
climateChangeCommitment,Climate Change Commitment,,"Due to the thermal inertia of the ocean and slow processes in the cryosphere and land surfaces, the climate would continue to change even if the atmospheric composition were held fixed at todays values. Past change in atmospheric composition leads to a committed climate change, which continues for as long as a radiative imbalance persists and until all components of the climate system have adjusted to a new state. The further change in temperature after the composition of the atmosphere is held constant is referred to as the constant composition temperature commitment or simply committed warming or warming commitment. Climate change commitment includes other future changes, for example in the hydrological cycle, in extreme weather events, in extreme climate events, and in sea level change.  The constant emission commitment is the committed climate change that would result from keeping anthropogenic emissions constant and the zero emission commitment is the climate change commitment when emissions are set to zero.",WGIII,
,,,,,
,,,,,
,,,,,
climateImpact,Climate Impact,,See Impact Assessment,,
climateModel,Climate Model (spectrum or hierarchy),,"A numerical representation of the climate system based on the physical, chemical, and biological properties of its components, their interactions and feedback processes, and accounting for all or some of its known properties. The climate system can be represented by models of varying complexity, that is, for any one component or combination of components a spectrum or hierarchy of models can be identified, differing in such aspects as the number of spatial dimensions, the extent to which physical, chemical, or biological processes are explicitly represented, or the level at which empirical parameterisations are involved. Coupled Atmosphere-Ocean General Circulation Models (AOGCMs) provide a comprehensive representation of the climate system that is near or at the most comprehensive end of the spectrum currently available. There is an evolution towards more complex models with interactive chemistry and biology. Climate models are applied, as a research tool, to study and simulate the climate, and for operational purposes, including monthly, seasonal, and interannual climate predictions. ",WGIII,
climatePrediction,Climate Prediction,,"A climate prediction or climate forecast is the result of an attempt to produce (starting from a particular state of the climate system) an estimate of the actual evolution of the climate in the future, for example, at seasonal, interannual or long-term time scales. Because the future evolution of the climate system may be highly sensitive to initial conditions, such predictions are usually probabilistic in nature.",WGIII,
